time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1600733306.187,2020-09-22T00:08:26.187499+00:00,-77.538315,-101.300702,0.0,2,0;1,235.0;155.0;205.0;155.0,17.475,locations_summary_20200922.csv
1600820478.612,2020-09-23T00:21:18.612499+00:00,-77.696036,-101.483714,0.0,2,0;1,30.0;340.0;30.0;160.0,3.525,locations_summary_20200923.csv
1600906040.525,2020-09-24T00:07:20.525000+00:00,-77.210314,-104.920236,0.0,2,0;1,95.0;35.0;95.0;25.0,18.45,locations_summary_20200924.csv
1600992376.725,2020-09-25T00:06:16.725001+00:00,-77.317205,-100.758863,0.0,2,0;1,80.0;325.0;40.0;140.0,125.05,locations_summary_20200925.csv
1600992860.963,2020-09-25T00:14:20.962501+00:00,-76.651295,-101.65477,0.0,2,0;1,155.0;105.0;340.0;100.0,549.825,locations_summary_20200925.csv
1601109889.613,2020-09-26T08:44:49.612500+00:00,-77.234846,-101.769149,0.0,2,0;1,290.0;150.0;275.0;155.0,61808.775,locations_summary_20200926.csv
1601109907.088,2020-09-26T08:45:07.087500+00:00,-77.002815,-102.306569,0.0,2,0;1,310.0;150.0;120.0;155.0,61799.925,locations_summary_20200926.csv
1601165934.625,2020-09-27T00:18:54.624999+00:00,-77.317682,-100.362663,0.0,3,0;1,255.0;320.0;155.0;320.0;250.0;135.0,824.075,locations_summary_20200927.csv
1601251545.762,2020-09-28T00:05:45.762500+00:00,-77.28648,-101.467174,0.0,2,0;1,280.0;150.0;85.0;150.0,15.375,locations_summary_20200928.csv
1601337928.625,2020-09-29T00:05:28.625000+00:00,-77.298825,-94.490736,0.0,2,0;1,90.0;110.0;90.0;110.0,21.35,locations_summary_20200929.csv
1601359067.688,2020-09-29T05:57:47.687500+00:00,-76.460947,-102.597972,0.0,2,0;1,335.0;235.0;325.0;55.0,41980.825,locations_summary_20200929.csv
1601424307.612,2020-09-30T00:05:07.612499+00:00,-77.252118,-100.28841,0.0,2,0;1,40.0;315.0;225.0;315.0,3.025,locations_summary_20200930.csv
1601424366.775,2020-09-30T00:06:06.774999+00:00,-74.062877,-92.269926,0.0,2,0;1,210.0;225.0;210.0;225.0,16.4,locations_summary_20200930.csv
1601510710.562,2020-10-01T00:05:10.562500+00:00,-77.389688,-100.763219,0.0,2,0;1,20.0;145.0;55.0;145.0,11.925,locations_summary_20201001.csv
1601510900.475,2020-10-01T00:08:20.475000+00:00,-77.298825,-106.790752,0.0,2,0;1,270.0;225.0;270.0;230.0,126.9,locations_summary_20201001.csv
1601510872.125,2020-10-01T00:07:52.125000+00:00,-77.95228,-101.656955,0.0,2,0;1,200.0;165.0;25.0;165.0,7.05,locations_summary_20201001.csv
1601549908.338,2020-10-01T10:58:28.337500+00:00,-77.06411,-102.687349,0.0,2,0;1,295.0;160.0;295.0;170.0,17.525,locations_summary_20201001.csv
1601597299.125,2020-10-02T00:08:19.125000+00:00,-77.358518,-101.283387,0.0,3,0;1,250.0;335.0;250.0;150.0;260.0;325.0,457.525,locations_summary_20201002.csv
