time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1578960355.35,2020-01-14T00:05:55.350000+00:00,-79.202034,-107.491159,0.0,1,0;1,2,220.0;200.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960358.45,2020-01-14T00:05:58.450000+00:00,-76.138001,-96.197849,0.0,1,0;1,2,220.0;75.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960386.575,2020-01-14T00:06:26.575000+00:00,-77.373785,-104.239881,0.0,2,0;1,2,85.0;200.0;85.0;10.0,25.6,True,locations_summary_20200114_triangulated.csv
1578960376.875,2020-01-14T00:06:16.875000+00:00,-77.735069,-122.378795,0.0,1,0;1,2,85.0;75.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960502.45,2020-01-14T00:08:22.450000+00:00,-77.424744,-101.533326,0.0,2,0;1,2,230.0;335.0;255.0;335.0,20.6,True,locations_summary_20200114_triangulated.csv
1578960535.95,2020-01-14T00:08:55.950000+00:00,-77.677885,-106.690344,0.0,1,0;1,2,255.0;215.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960541.125,2020-01-14T00:09:01.125000+00:00,-77.429472,-102.618087,0.0,1,0;1,2,255.0;350.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960554.0,2020-01-14T00:09:14+00:00,-77.039534,-104.72698,0.0,1,0;1,2,105.0;215.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960568.275,2020-01-14T00:09:28.275000+00:00,-77.162957,-102.703681,0.0,2,0;1,2,105.0;350.0;105.0;345.0,18.2,True,locations_summary_20200114_triangulated.csv
1578960638.45,2020-01-14T00:10:38.450000+00:00,-77.102438,-103.69578,0.0,1,0;1,2,105.0;10.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960695.35,2020-01-14T00:11:35.350000+00:00,-78.216584,-107.458754,0.0,1,0;1,2,60.0;30.0,0.0,True,locations_summary_20200114_triangulated.csv
1579046728.15,2020-01-15T00:05:28.150000+00:00,-76.40231,-94.852374,0.0,1,0;1,2,235.0;265.0,0.0,True,locations_summary_20200115_triangulated.csv
1579046791.425,2020-01-15T00:06:31.425000+00:00,-78.880958,-115.37975,0.0,1,0;1,2,65.0;50.0,0.0,True,locations_summary_20200115_triangulated.csv
1579046796.725,2020-01-15T00:06:36.725000+00:00,-77.688808,-104.149936,0.0,1,0;1,2,65.0;190.0,0.0,True,locations_summary_20200115_triangulated.csv
1579046806.575,2020-01-15T00:06:46.575000+00:00,-76.570239,-93.613238,0.0,1,0;1,2,65.0;90.0,0.0,True,locations_summary_20200115_triangulated.csv
1579046835.75,2020-01-15T00:07:15.750000+00:00,-76.610064,-103.153486,0.0,3,0;1,2,140.0;90.0;140.0;205.0;135.0;160.0,1135.45,True,locations_summary_20200115_triangulated.csv
1579046852.55,2020-01-15T00:07:32.550000+00:00,-77.139344,-104.44926,0.0,1,0;1,2,100.0;205.0,0.0,True,locations_summary_20200115_triangulated.csv
1579046912.763,2020-01-15T00:08:32.762500+00:00,-76.20583,-98.237627,0.0,2,0;1,2,25.0;250.0;25.0;75.0,6.375,True,locations_summary_20200115_triangulated.csv
1579046925.7,2020-01-15T00:08:45.700000+00:00,-77.320068,-100.519887,0.0,1,0;1,2,25.0;140.0,0.0,True,locations_summary_20200115_triangulated.csv
1579047113.362,2020-01-15T00:11:53.362500+00:00,-77.189437,-102.554801,0.0,2,0;1,2,110.0;165.0;95.0;165.0,16.225,True,locations_summary_20200115_triangulated.csv
1579047130.475,2020-01-15T00:12:10.475000+00:00,-77.154393,-107.727868,0.0,1,0;1,2,95.0;240.0,0.0,True,locations_summary_20200115_triangulated.csv
1579047844.125,2020-01-15T00:24:04.125000+00:00,-78.202053,-122.976907,0.0,1,0;1,2,80.0;250.0,0.0,True,locations_summary_20200115_triangulated.csv
1579133190.463,2020-01-16T00:06:30.462500+00:00,-77.048473,-99.219269,0.0,2,0;1,2,40.0;300.0;55.0;115.0,160.225,True,locations_summary_20200116_triangulated.csv
1579133120.025,2020-01-16T00:05:20.025000+00:00,-78.456924,-104.744858,0.0,1,0;1,2,40.0;190.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133150.75,2020-01-16T00:05:50.750000+00:00,-77.453858,-104.33844,0.0,2,0;1,2,80.0;190.0;80.0;20.0,21.1,True,locations_summary_20200116_triangulated.csv
1579133162.613,2020-01-16T00:06:02.612500+00:00,-77.187236,-98.589421,0.0,2,0;1,2,80.0;120.0;70.0;120.0,11.625,True,locations_summary_20200116_triangulated.csv
1579133172.925,2020-01-16T00:06:12.925000+00:00,-77.678212,-105.054951,0.0,1,0;1,2,70.0;20.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133180.625,2020-01-16T00:06:20.625000+00:00,-78.571908,-115.840405,0.0,1,0;1,2,70.0;235.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133185.275,2020-01-16T00:06:25.275000+00:00,-77.240639,-99.774165,0.0,1,0;1,2,70.0;310.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133229.5,2020-01-16T00:07:09.500000+00:00,-73.944561,-93.605941,0.0,1,0;1,2,25.0;40.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133233.9,2020-01-16T00:07:13.900000+00:00,-77.320068,-100.519887,0.0,1,0;1,2,25.0;140.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133245.9,2020-01-16T00:07:25.900000+00:00,-78.337734,-102.604339,0.0,1,0;1,2,25.0;175.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133258.9,2020-01-16T00:07:38.900000+00:00,-77.678431,-102.857707,0.0,1,0;1,2,55.0;175.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133377.0,2020-01-16T00:09:37+00:00,-77.025274,-104.960734,0.0,1,0;1,2,285.0;40.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133388.45,2020-01-16T00:09:48.450000+00:00,-75.109485,-97.899579,0.0,1,0;1,2,15.0;40.0,0.0,True,locations_summary_20200116_triangulated.csv
1579133427.0,2020-01-16T00:10:27+00:00,-78.233923,-103.922928,0.0,1,0;1,2,220.0;5.0,0.0,True,locations_summary_20200116_triangulated.csv
